番號,上班地點,上班時間,下班時間,下班地點,工時,備註,,,,
C75101,HUH,07:00 ,15:00 ,HUH,07:30,MKKP1S Spare,,,,
C75102,HUH,05:52 ,13:37 ,HUH,07:15,EMU,,,,
C75103,HTD,05:05 ,11:35 ,HUH,06:00,Run26,,,,
C75104,HUH,12:11 ,18:41 ,HUH,06:00,EMU,,,,
C75105,HUH,11:00 ,19:45 ,HUH,08:15,KB/M,,,,
C75106,,,,,,Duty Cover,,,,
C75107,HUH,05:23 ,12:53 ,HUH,07:00,EMU,,,,
C75108,HUH,08:16 ,16:16 ,HUH,07:30,EMU,,,,
C75109,HUH,18:47 ,01:32 ,HUH,06:15,(FOTP1 停放),,,,
C75110,HUH,19:08 ,01:38 ,HUH,06:00,(SHTP3 停放),,,,
C75111,HUH,16:16 ,22:46 ,HUH,06:00,EMU,,,,
C75112,HUH,05:18 ,11:48 ,HUH,06:00,EMU,,,,
C75113,SHT,04:05 ,10:35 ,HUH,06:00,SHTP3 Run7,,,,
C75114,HUH,12:44 ,19:14 ,HUH,06:00,EMU,,,,
C75115,HUH,13:31 ,20:46 ,HUH,06:45,EMU,,,,
C75116,HUH,12:24 ,18:54 ,HUH,06:00,EMU,,,,
C75117,,GH,,,,,,,,
C75118,HUH,05:27 ,11:57 ,HUH,06:00,EMU,,,,
C75119,HUH,04:28 ,10:58 ,HUH,06:00,MKKP3 Run5,,,,
C75120,HUH,15:29 ,23:44 ,HUH,07:45,EMU,,,,
C75121,HUH,17:11 ,01:11 ,HUH,07:30,(SHTP4 停放),,,,
C75122,HUH,19:11 ,01:41 ,HUH,06:00,(SHTP4S 停放),,,,
C75123,HUH,09:58 ,16:28 ,HUH,06:00,EMU,,,,
C75124,HUH,06:53 ,14:23 ,HUH,07:00,EMU,,,,
C75125,HTD,05:17 ,11:47 ,HUH,06:00,Run27,,,,
C75126,HUH,13:48 ,21:18 ,HUH,07:00,EMU,,,,
C75127,,,,,,Duty Cover,,,,
C75128,HUH,07:16 ,13:46 ,HUH,06:00,EMU,,,,
C75129,SHT,04:05 ,10:35 ,HUH,06:00,SHTP4S Run8,,,,
C75130,HUH,17:52 ,01:52 ,HUH,07:30,(MKKP3 停放),,,,
C75131,HUH,17:15 ,01:30 ,HUH,07:45,KB/L,,,,
C75132,HUH,16:50 ,01:05 ,HUH,0.322916667,EMU,,,,
C75133,,GH,,,,,,,,
C75134,HTD,05:00 ,13:30 ,HTD,08:00,HB/E,,,,
C75135,HUH,04:50 ,11:20 ,HUH,06:00,HUHP1 Run1,,,,
C75136,HUH,15:15 ,23:00 ,HUH,07:15,(MKKP1 停放),,,,
C75137,HUH,16:36 ,00:51 ,HUH,07:45,EMU,,,,
C75138,HUH,16:29 ,00:59 ,HTD,08:00,EMU,,,,
C75139,HUH,06:05 ,14:20 ,HUH,07:45,EMU,,,,
C75140,HUH,04:28 ,12:28 ,HUH,07:30,KB/E,,,,
C75141,HUH,07:48 ,16:03 ,HUH,07:45,EMU,,,,
C75142,HUH,19:13 ,01:43 ,HUH,06:00,(HUHP1 停放),,,,
C75143,HUH,17:25 ,01:10 ,HUH,07:15,EMU,,,,
C75144,,,,,,Duty Cover,,,,
C75145,HUH,07:00 ,15:00 ,HUH,07:30,HUH STANDBY,,,,
C75146,HUH,10:47 ,18:47 ,HUH,07:30,EMU,,,,
C75147,HUH,14:26 ,22:26 ,HUH,07:30,EMU,,,,
C75148,HTD,15:00 ,23:00 ,HUH,07:30,RACP1 & MKK1S BY,,,,
C75149,HUH,04:50 ,11:20 ,HUH,06:00,HUHP4 Run2,,,,
C75150,HUH,04:28 ,11:28 ,HUH,06:30,MKKP1 Run4,,,,
C75151,HUH,06:33 ,14:33 ,HUH,07:30,EMU,,,,
C75152,HUH,19:10 ,01:40 ,HUH,06:00,(HUHP4 停放),,,,
C75153,HUH,19:01 ,01:46 ,HUH,06:15,(SHTP1 停放),,,,
C75154,,,,,,Duty Cover,,,,
C75155,HUH,06:19 ,14:04 ,HUH,07:15,EMU,,,,
C75156,HUH,08:51 ,15:21 ,HUH,06:00,EMU,,,,
C75157,HUH,14:19 ,22:04 ,HUH,07:15,EMU,,,,
C75158,HUH,13:40 ,21:25 ,HUH,07:15,EMU,,,,
C75159,HUH,12:00 ,19:30 ,HUH,07:00,HB/M,,,,
C75301,HUH,08:00 ,14:30 ,HUH,06:00,P702/P705/P712,,,,
C75302,LOW,07:15 ,15:15 ,LOW,07:30,RS,,,,
C75303,HUH,22:10 ,06:10 ,HUH,07:30,ET12,,,,
C75304,HUH,22:10 ,06:10 ,HUH,07:30,ET6,,,,
C75305,HUH,22:10 ,06:10 ,HUH,07:30,ET5,,,,
C75306,HUH,10:15 ,17:15 ,HUH,06:30,P708/P713,,,,
C75307,,,,,,Duty Cover,,,,
C75308,HUH,13:30 ,22:15 ,HUH,08:15,P714/P717/P720,,,,
C75309,LOW,14:30 ,22:30 ,LOW,07:30,RS,,,,
C75310,HUH,13:30 ,21:45 ,HUH,07:45,P711/P718/P721,,,,
C75311,HUH,08:00 ,15:00 ,HUH,06:30,P703/P704/P707,,,,
C75312,,,,,,Duty Cover,,,,
C75313,HUH,22:10 ,06:10 ,HUH,07:30,ET8,,,,
C75314,HUH,22:10 ,06:10 ,HUH,07:30,ET3,,,,
C75315,HUH,22:10 ,06:10 ,HUH,07:30,ET1,,,,
C75316,LOW,07:15 ,15:15 ,LOW,07:30,RS,,,,
C75317,HUH,22:10 ,06:10 ,HUH,07:30,ET11,,,,
C75318,HUH,22:10 ,06:10 ,HUH,07:30,ET10,,,,
C75319,HUH,22:10 ,06:10 ,HUH,07:30,ET2,,,,
C75320,LOW,14:30 ,22:30 ,LOW,07:30,RS,,,,
C75321,HUH,22:10 ,06:10 ,HUH,07:30,ET9,,,,
C75322,HUH,22:10 ,06:10 ,HUH,07:30,ET7,,,,
C75323,HUH,22:10 ,06:10 ,HUH,07:30,ET4,,,,
C75501,HUH,09:40 ,16:25 ,HUH,06:15,EMU,,,,
C75502,SHS,04:55 ,12:25 ,HUH,07:00,LOWP3 Run23,,,,
C75503,SHT,04:05 ,10:35 ,HUH,06:00,FOTP4 Run11,,,,
C75504,HUH,13:10 ,19:55 ,HUH,06:15,EMU,,,,
C75505,LOW,11:36 ,19:36 ,HUH,07:30,SG3SRun16/(SG3N停放),,,,
C75506,,,,,,Duty Cover,,,,
C75507,SHS,04:55 ,11:55 ,HUH,06:30,SG3N Run17,,,,
C75508,SHT,04:05 ,10:35 ,HUH,06:00,SHTP4 Run9,,,,
C75509,HUH,15:41 ,22:41 ,HUH,06:30,(SG3S停放),,,,
C75510,HUH,18:12 ,01:42 ,HUH,07:00,(SHSP2停放),,,,
C75511,HUH,15:45 ,00:30 ,HTD,08:15,EMU,,,,
C75512,HUH,08:53 ,16:23 ,HUH,07:00,EMU,,,,
C75513,SHS,04:55 ,12:25 ,LOW,07:00,SSG/LWM BY,,,,
C75514,SHT,04:05 ,10:35 ,HUH,06:00,LOW Step1,,,,
C75515,HUH,11:08 ,17:38 ,HUH,06:00,EMU,,,,
C75516,HUH,11:27 ,17:57 ,HUH,06:00,EMU,,,,
C75517,,GH,,,,,,,,
C75518,SHT,04:05 ,12:05 ,HUH,07:30,SB/E,,,,
C75519,SHS,04:55 ,12:10 ,HUH,06:45,LMCP2 Run25,,,,
C75520,HTD,18:44 ,01:29 ,HUH,06:15,(LMCP1停放),,,,
C75521,HUH,14:12 ,20:42 ,HUH,06:00,EMU,,,,
C75522,LOW,15:00 ,23:00 ,LOW,07:30,LWM BY,,,,
C75523,,,,,,Duty Cover,,,,
C75524,SHS,04:55 ,11:25 ,HUH,06:00,LOWP1 Run22,,,,
C75525,SHT,04:05 ,10:35 ,HTD,06:00,FOTP1Run10/(RACP1停放),,,,
C75526,HUH,18:19 ,01:34 ,HUH,06:45,(LOWP3停放),,,,
C75527,HUH,16:00 ,00:30 ,HUH,08:00,SB/L,,,,
C75528,HUH,07:00 ,15:00 ,HUH,07:30,EMU,,,,
C75529,SHT,04:05 ,10:35 ,HUH,06:00,RACP1 Run12,,,,
C75530,HUH,18:08 ,01:38 ,HTD,07:00,EMU,,,,
C75531,HUH,18:46 ,01:46 ,HTD,06:30,EMU,,,,
C75532,HUH,16:57 ,00:57 ,HUH,07:30,LOW Book off,,,,
C75533,,GH,,,,,,,,
C75534,HUH,08:51 ,15:21 ,HUH,06:00,EMU,,,,
C75535,SHT,04:05 ,10:35 ,HUH,06:00,SHTP1 Run6,,,,
C75536,HUH,19:00 ,01:30 ,HTD,06:00,EMU,,,,
C75537,HUH,18:26 ,01:26 ,HUH,06:30,(LMCP2停放),,,,
C75538,,,,,,Duty Cover,,,,
C75539,HUH,08:44 ,15:14 ,HUH,06:00,EMU,,,,
C75540,LOW,07:00 ,15:00 ,LOW,07:30,LWM BY,,,,
C75541,HUH,18:54 ,01:39 ,HUH,06:15,(FOTP4停放),,,,
C75542,HUH,15:22 ,00:07 ,HUH,08:15,(TAPP1停放),,,,
C75543,HUH,13:00 ,21:00 ,HUH,07:30,SB/M,,,,
C75544,SHS,04:55 ,13:10 ,HUH,07:45,SHSP2 Run14,,,,
C75545,SHT,04:05 ,11:05 ,HUH,06:30,TAPP1 Run13,,,,
C75546,HUH,12:56 ,19:26 ,HUH,06:00,EMU,,,,
C75547,HUH,11:36 ,19:36 ,HUH,07:30,EMU,,,,
C75548,HUH,16:43 ,00:43 ,HTD,07:30,EMU,,,,
C75549,SHS,04:55 ,11:25 ,HUH,06:00,LMCP1 Run24,,,,
C75550,HUH,07:55 ,14:25 ,HUH,06:00,EMU,,,,
C75551,HUH,17:58 ,01:43 ,HUH,07:15,(LOWP1 停放),,,,
C75552,HTD,16:30 ,00:45 ,HTD,07:45,HB/L,,,,
C75553,,,,,,Duty Cover,,,,
C75554,HUH,07:09 ,15:54 ,HUH,08:15,EMU,,,,
C75555,HUH,09:00 ,16:30 ,HUH,07:00,HUH BY,,,,
,,,,,,,,,,
