Name,Book On Locaiton,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
Y75101,HUH,07:29 AM,04:14 PM,HUH,8:15,EMU
Y75102,HUH,05:16 AM,12:01 PM,HTD,6:15,MKKP1S T3/HTD BY
Y75103,HTD,05:05 AM,01:05 PM,HUH,7:30,T24
Y75104,HUH,12:14 PM,08:14 PM,HUH,7:30,EMU
Y75105,HUH,11:00 AM,07:45 PM,HUH,8:15,KB
Y75106,HUH,10:55 AM,05:55 PM,HUH,6:30,EMU
Y75107,HUH,05:17 AM,12:47 PM,HUH,7:00,EMU
Y75108,HUH,08:05 AM,04:50 PM,HUH,8:15,EMU
Y75109,HUH,05:27 PM,01:27 AM,HUH,7:30,FOTP1  STOP
Y75110,HUH,06:20 PM,01:20 AM,HUH,6:30,HUHP1  STOP
Y75111,HUH,03:13 PM,10:28 PM,HUH,6:45,EMU
Y75112,HUH,05:22 AM,12:22 PM,HUH,6:30,EMU
Y75113,SHT,04:05 AM,10:50 AM,HTD,6:15,SHTP4S T8
Y75114,HUH,01:07 PM,08:07 PM,HUH,6:30,EMU/PM BY
Y75115,HUH,11:49 AM,06:49 PM,HUH,6:30,EMU
Y75116,HUH,11:16 AM,06:31 PM,HUH,6:45,EMU
Y75117,,GH,,,,
Y75118,HUH,05:44 AM,01:14 PM,HUH,7:00,EMU
Y75119,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP3 T5
Y75120,HUH,06:37 PM,01:52 AM,HUH,6:45,MKKP3 STOP
Y75121,HUH,06:23 PM,01:23 AM,HUH,6:30,SHTP4  STOP
Y75122,HUH,03:50 PM,12:35 AM,HUH,8:15,MKKP1S  STOP
Y75123,HUH,07:21 AM,04:06 PM,HUH,8:15,EMU
Y75124,HUH,07:17 AM,02:47 PM,HUH,7:00,EMU
Y75125,HTD,05:11 AM,12:41 PM,HUH,7:00,T25
Y75126,HUH,01:04 PM,09:49 PM,HUH,8:15,EMU  OT
Y75127,HUH,11:21 AM,07:06 PM,HUH,7:15,EMU
Y75128,HUH,06:41 AM,03:26 PM,HUH,8:15,EMU
Y75129,SHT,04:05 AM,10:35 AM,HUH,6:00,SHTP3 T7
Y75130,HUH,06:51 PM,01:36 AM,HUH,6:15,SHTP3  STOP
Y75131,HUH,05:15 PM,01:30 AM,HUH,7:45,KB
Y75132,HUH,02:10 PM,09:40 PM,HUH,7:00,EMU
Y75133,,GH,,,,
Y75134,HTD,05:00 AM,01:30 PM,HTD,8:00,HB/Hot Standby
Y75135,HUH,04:50 AM,12:35 PM,HUH,7:15,HUHP1 T1
Y75136,HUH,05:51 PM,12:51 AM,HUH,6:30,MKKP1  STOP
Y75137,HUH,04:21 PM,01:06 AM,HUH,8:15,EMU
Y75138,HUH,05:13 PM,12:58 AM,HUH,7:15,RACP1  STOP
Y75139,HUH,07:01 AM,02:31 PM,HUH,7:00,EMU
Y75140,HUH,04:28 AM,12:28 PM,HUH,7:30,KB
Y75141,HUH,11:27 AM,06:42 PM,HUH,6:45,EMU
Y75142,HUH,04:34 PM,01:04 AM,HUH,8:00,SHTP4S  STOP
Y75143,HUH,06:17 PM,01:17 AM,HUH,6:30,EMU
Y75144,HUH,07:53 AM,03:23 PM,HUH,7:00,EMU
Y75145,HUH,10:09 AM,05:24 PM,HUH,6:45,EMU
Y75146,HUH,12:27 PM,08:12 PM,HUH,7:15,EMU  OT
Y75147,HUH,12:12 PM,07:27 PM,HUH,6:45,EMU
Y75148,HUH,11:09 AM,06:09 PM,HUH,6:30,EMU
Y75149,HUH,04:50 AM,12:05 PM,HUH,6:45,HUHP4 T2/AM BY
Y75150,HUH,04:28 AM,10:58 AM,HUH,6:00,MKKP1 T4
Y75151,HUH,10:13 AM,05:43 PM,HUH,7:00,EMU
Y75152,HUH,06:26 PM,01:41 AM,HUH,6:45,HUHP4  STOP
Y75153,HUH,06:04 PM,01:49 AM,HUH,7:15,SHTP1  STOP
Y75154,HUH,04:17 PM,01:02 AM,HUH,8:15,EMU
Y75155,HUH,08:20 AM,05:05 PM,HUH,8:15,EMU
Y75156,HTD,08:04 AM,04:49 PM,HUH,8:15,T14a
Y75157,HUH,01:21 PM,09:21 PM,HUH,7:30,EMU
Y75158,HUH,12:36 PM,08:06 PM,HUH,7:00,EMU
Y75159,HUH,11:06 AM,06:21 PM,HUH,6:45,EMU
Y75301,HUH,07:40 AM,04:40 PM,HUH,8:30,P705/P706/P711/P716
Y75302,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
Y75303,HUH,11:30 PM,06:30 AM,HUH,7:00,MOL
Y75304,HUH,10:10 PM,06:10 AM,HUH,8:00,ET6
Y75305,HUH,10:10 PM,06:10 AM,HUH,8:00,ET5
Y75306,HUH,08:30 AM,03:00 PM,HUH,6:00,P704/P709/P714
Y75307,HUH,06:53 AM,03:38 PM,HUH,8:15,EMU
Y75308,HUH,10:10 PM,06:10 AM,HUH,8:00,ET8
Y75309,HUH,10:10 PM,06:10 AM,HUH,8:00,ET3
Y75310,HUH,10:10 PM,06:10 AM,HUH,8:00,ET1
Y75311,HUH,03:30 PM,12:30 AM,HUH,8:30,P721/P724/KB
Y75312,HUH,01:28 PM,09:28 PM,HUH,7:30,EMU
Y75313,HUH,02:40 PM,12:10 AM,HUH,9:00,P717/P722/P727/P728
Y75314,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/MTT
Y75315,HUH,01:30 PM,08:30 PM,HUH,6:30,P715/P720/P725
Y75316,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
Y75317,HUH,06:15 AM,01:45 PM,HUH,7:00,P701/P702/P707/P710
Y75318,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/MTT
Y75319,HUH,10:10 PM,06:10 AM,HUH,8:00,ET10
Y75320,HUH,10:10 PM,06:10 AM,HUH,8:00,ET9
Y75321,HUH,10:10 PM,06:10 AM,HUH,8:00,ET7
Y75322,HUH,10:10 PM,06:10 AM,HUH,8:00,ET4
Y75323,HUH,10:10 PM,06:10 AM,HUH,8:00,ET2
Y75501,HTD,06:27 AM,02:27 PM,HUH,7:30,T28
Y75502,SHS,04:55 AM,11:40 AM,HUH,6:15,LOWP1 T20
Y75503,SHT,04:05 AM,10:35 AM,HUH,6:00,FOTP4 T11
Y75504,HUH,04:24 PM,12:09 AM,HUH,7:15,LG2N STOP
Y75505,HUH,01:35 PM,10:20 PM,HUH,8:15,EMU  OT
Y75506,HUH,12:43 PM,09:13 PM,HUH,8:00,EMU
Y75507,SHS,04:55 AM,12:55 PM,HUH,7:30,LG2N T19
Y75508,SHT,04:05 AM,11:20 AM,HUH,6:45,SHTP4 T9
Y75509,HUH,05:54 PM,01:54 AM,HTD,7:30,EMU
Y75510,HUH,04:45 PM,01:30 AM,HUH,8:15,LG1S STOP
Y75511,HUH,03:06 PM,11:51 PM,HUH,8:15,SG3N STOP
Y75512,SHS,04:55 AM,12:55 PM,HUH,7:30,SG2S T15
Y75513,SHS,04:55 AM,12:10 PM,HUH,6:45,LMG PICK T4
Y75514,SHT,04:05 AM,12:05 PM,HUH,7:30,LOWP3PICKT13/BY
Y75515,HUH,12:54 PM,09:39 PM,HUH,8:15,EMU  OT
Y75516,HUH,01:00 PM,09:00 PM,HUH,7:30,EMU
Y75517,,GH,,,,
Y75518,SHT,04:05 AM,12:05 PM,HUH,7:30,SB
Y75519,SHS,04:55 AM,11:55 AM,HUH,6:30,LMCP2 T23
Y75520,HUH,04:31 PM,01:16 AM,HUH,8:15,LMCP2  STOP
Y75521,HUH,04:52 PM,12:52 AM,HTD,7:30,EMU
Y75522,HUH,03:37 PM,12:22 AM,HUH,8:15,LG2S  STOP
Y75523,HUH,07:05 AM,03:50 PM,HUH,8:15,EMU
Y75524,SHS,04:55 AM,01:25 PM,HUH,8:00,LOWP3 T21
Y75525,SHT,04:05 AM,11:35 AM,HUH,7:00,FOTP1 T10
Y75526,HUH,05:36 PM,01:36 AM,HTD,7:30,EMU
Y75527,HUH,04:00 PM,12:30 AM,HUH,8:00,SB
Y75528,HTD,06:04 AM,01:49 PM,HUH,7:15,T27
Y75529,SHT,04:05 AM,10:50 AM,HUH,6:15,RACP1 T12
Y75530,HUH,07:01 PM,01:46 AM,HTD,6:15,EMU
Y75531,HUH,05:02 PM,01:32 AM,HUH,8:00,SHSP2  STOP
Y75532,HUH,04:10 PM,12:55 AM,HUH,8:15,SHS OFF
Y75533,,GH,,,,
Y75534,SHS,04:55 AM,12:40 PM,HUH,7:15,LG1N T18
Y75535,SHT,04:05 AM,10:35 AM,HUH,6:00,SHTP1 T6
Y75536,HUH,05:33 PM,01:48 AM,HTD,7:45,EMU
Y75537,HUH,05:17 PM,01:32 AM,HUH,7:45,LOWP3  STOP
Y75538,HUH,02:03 PM,10:48 PM,HUH,8:15,EMU+ BY+EMU
Y75539,HTD,04:55 AM,12:40 PM,HUH,6:45,LG2S T17
Y75540,HTD,05:22 AM,01:37 PM,HUH,7:45,T26
Y75541,HUH,05:23 PM,01:38 AM,HUH,7:45,FOTP4  STOP
Y75542,HUH,03:54 PM,12:09 AM,HUH,7:45,TAPP1  STOP
Y75543,HUH,01:00 PM,09:00 PM,HUH,7:30,SB
Y75544,SHS,04:55 AM,01:10 PM,HUH,7:45,SHSP2 T14
Y75545,SHT,04:05 AM,11:50 AM,HUH,7:15,TAPP1 T13
Y75546,HUH,04:48 PM,01:33 AM,HUH,8:15,LMCP1  STOP
Y75547,HUH,06:30 PM,01:00 AM,HTD,6:00,LG1N STOP
Y75548,HUH,01:32 PM,10:02 PM,HUH,8:00,LMC OFF
Y75549,SHS,04:55 AM,11:55 AM,HUH,6:30,LMCP1 122
Y75550,SHS,04:55 AM,11:40 AM,HUH,6:15,LG1S T17
Y75551,HUH,05:10 PM,01:40 AM,HUH,8:00,LOWP1  STOP
Y75552,HTD,04:30 PM,12:45 AM,HTD,7:45,HB
Y75553,HUH,01:52 PM,09:52 PM,HUH,7:30,EMU/PM BY
Y75554,HUH,07:56 AM,04:41 PM,HUH,8:15,EMU
Y75555,HUH,11:30 AM,07:00 PM,HUH,7:00,EMU